Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities,Year
Goddeti Madhavi   Winner ,YSRCP,0,Graduate Professional,26,Araku + Andhra Pradesh,141179,0,2019
Anumula Vamsi Krishna,IND,0,Post Graduate,41,Araku + Andhra Pradesh,50000,100000,2019
Biddika Ramaiah,IND,0,Illiterate,57,Araku + Andhra Pradesh,415000,0,2019
Dr. Kasi Viswanadha Veera Venkata Satyanarayana Reddy Kosuri,BJP,0,Doctorate,54,Araku + Andhra Pradesh,11443485,2200000,2019
Kangala Baladora,IND,0,Illiterate,61,Araku + Andhra Pradesh,340500,0,2019
Narava Satyavathi,IND,0,10th Pass,37,Araku + Andhra Pradesh,964000,0,2019
Shruti Devi Vyricherla,INC,0,Graduate Professional,46,Araku + Andhra Pradesh,23592023,0,2019
Swamula Subrahamanyam,Jana Jagruti Party,0,Graduate,50,Araku + Andhra Pradesh,2100000,870000,2019
Vampuru Gangulaiah,Janasena Party, 3 ,10th Pass,49,Araku + Andhra Pradesh,2567059,320000,2019
Vyricherla Kishore Chandra Suryanarayana Deo,TDP,0,Post Graduate,72,Araku + Andhra Pradesh,65729020,0,2019
Rammohannaidu Kinjarapu   Winner ,TDP, 1 ,Post Graduate,32,Srikakulam + Andhra Pradesh,122791042,12000000,2019
Betha Vivekananda Maharaj,IND,0,Graduate,33,Srikakulam + Andhra Pradesh,133000,0,2019
Dola Jagan Mohana Rao,INC,0,Post Graduate,53,Srikakulam + Andhra Pradesh,12390000,3846000,2019
Matta Satish Chakravarthy,Pyramid Party of India,0,Post Graduate,37,Srikakulam + Andhra Pradesh,1450117,10060,2019
Metta Ramarao,Janasena Party,0,Post Graduate,53,Srikakulam + Andhra Pradesh,63385326,0,2019
Naidugari Rajasekhar,IND,0,Post Graduate,35,Srikakulam + Andhra Pradesh,41500,0,2019
Namballa Krishna Mohan,IND, 1 ,Graduate,44,Srikakulam + Andhra Pradesh,707000,500000,2019
Perla Samba Murthy,BJP,0,Post Graduate,58,Srikakulam + Andhra Pradesh,375199993,120000000,2019
Srinivas Duvvada,YSRCP, 13 ,Post Graduate,52,Srikakulam + Andhra Pradesh,52821196,25848939,2019
Bellana Chandra Sekhar   Winner ,YSRCP, 4 ,Graduate Professional,57,Vizianagaram + Andhra Pradesh,21035766,11130148,2019
Adiraju Yedla,INC,0,Post Graduate,52,Vizianagaram + Andhra Pradesh,47214000,3088876,2019
Anandsagar Pogru,Samaanya Praja Party,0,8th Pass,55,Vizianagaram + Andhra Pradesh,4697147,1702000,2019
Ashok Gajapathi Raju Pusapati,TDP,0,12th Pass,67,Vizianagaram + Andhra Pradesh,183534582,0,2019
Dhanalakoti Ramana,IND,0,Post Graduate,29,Vizianagaram + Andhra Pradesh,860000,0,2019
Govinda Rao Lagudu,Jana Jagruti Party,0,Doctorate,40,Vizianagaram + Andhra Pradesh,280456,0,2019
Kovvuri Surya Bhavani,Pyramid Party of India,0,8th Pass,38,Vizianagaram + Andhra Pradesh,1710000,0,2019
Lingala Chiranjeevi,Andhra Chaitanya Party,0,12th Pass,28,Vizianagaram + Andhra Pradesh,330000,0,2019
Mukka Sreenivasa Rao,Janasena Party,0,10th Pass,39,Vizianagaram + Andhra Pradesh,13428596,0,2019
Pentapati Rajesh,IND,0,Others,39,Vizianagaram + Andhra Pradesh,50000,16000,2019
Ramu Naidu Yijurothu,IND,0,10th Pass,47,Vizianagaram + Andhra Pradesh,100000,0,2019
Sanyasi Raju Pakalapati,BJP,0,Graduate,60,Vizianagaram + Andhra Pradesh,125155000,22688000,2019
Venkata Trindha Rao Veluri	,IND,0,Graduate Professional,52,Vizianagaram + Andhra Pradesh,94198,0,2019
Yella Rao Siyyadula,IND,0,12th Pass,37,Vizianagaram + Andhra Pradesh,57000,0,2019
M V V Satyanarayana   Winner ,YSRCP, 1 ,10th Pass,52,Visakhapatnam + Andhra Pradesh,2023905124,160030959,2019
Anmish Varma,IND,0,Post Graduate,26,Visakhapatnam + Andhra Pradesh,75000,0,2019
B. Jaya Venu Gopal,Pyramid Party of India,0,12th Pass,30,Visakhapatnam + Andhra Pradesh,95000,0,2019
Bharat Mathukumilli,TDP,0,Post Graduate,29,Visakhapatnam + Andhra Pradesh,2325373550,9591144,2019
Daggubati Purandeswari,BJP,0,Graduate,58,Visakhapatnam + Andhra Pradesh,324038450,34949036,2019
Durgaprasad. Guntu,IND,0,Post Graduate,51,Visakhapatnam + Andhra Pradesh,3803500,497400,2019
Gampala Somasundaram,IND,0,Graduate,76,Visakhapatnam + Andhra Pradesh,3340000,0,2019
Gannu Mallayya,IND,0,Graduate,70,Visakhapatnam + Andhra Pradesh,2113580,0,2019
George Bangari,Viduthalai Chiruthaigal Katchi,0,Graduate Professional,46,Visakhapatnam + Andhra Pradesh,1200000,500000,2019
Kothapalli Geetha,IND, 1 ,Post Graduate,48,Visakhapatnam + Andhra Pradesh,86754722,2394398,2019
Pedada Ramanikumari,INC,0,Post Graduate,48,Visakhapatnam + Andhra Pradesh,117936000,0,2019
Pulapaka Raja Sekhar,IND,0,Graduate,41,Visakhapatnam + Andhra Pradesh,67295,50000,2019
R. Udaya Gowri,IND,0,Illiterate,44,Visakhapatnam + Andhra Pradesh,6110000,5543000,2019
V.V. Lakshmi Narayana,Janasena Party,0,Post Graduate,53,Visakhapatnam + Andhra Pradesh,86465496,0,2019
Dr.Beesetti Venkata Satyavathi   Winner ,YSRCP,0,Graduate Professional,52,Anakapalle + Andhra Pradesh,91526244,11139279,2019
Adari Anand Kumar,TDP,0,10th Pass,43,Anakapalle + Andhra Pradesh,410547212,205591400,2019
Appala Naidu Tummagonta,IND,0,10th Pass,38,Anakapalle + Andhra Pradesh,0,0,2019
Chintala Partha Sarathi,Janasena Party,0,Post Graduate,56,Anakapalle + Andhra Pradesh,335308506,110928567,2019
Dr Gandi Venkata Satyanarayana Rao,BJP,0,Post Graduate,65,Anakapalle + Andhra Pradesh,57688924,9497894,2019
K B Swaroop,Jana Jagruti Party,0,Graduate Professional,51,Anakapalle + Andhra Pradesh,24454500,0,2019
P.S.Ajay Kumar,CPI(ML)(L), 3 ,Post Graduate,57,Anakapalle + Andhra Pradesh,1258000,0,2019
Ruthala Srirama Murthy,INC,0,Graduate Professional,49,Anakapalle + Andhra Pradesh,27611641,0,2019
Taadi Veera Jagadeeshwari,Pyramid Party of India,0,5th Pass,65,Anakapalle + Andhra Pradesh,286242307,318680,2019
Vadlamuri Krishna Swaroop,Dalita Bahujana Party,0,Post Graduate,46,Anakapalle + Andhra Pradesh,16500,0,2019
Vanga Geetha Viswanatham   Winner ,YSRCP,0,Post Graduate,55,Kakinada + Andhra Pradesh,202528594,34416887,2019
Ankadi Sathibabu,IND,0,Illiterate,45,Kakinada + Andhra Pradesh,50000,0,2019
Appalakonda Vangalapudi,Mundadugu Praja Party,0,Post Graduate,28,Kakinada + Andhra Pradesh,514707,508707,2019
Buddala Geetha Devi,Praja Shanthi Party,0,5th Pass,34,Kakinada + Andhra Pradesh,32000,0,2019
Donam Neelakantam,All India Praja Party,0,Post Graduate,49,Kakinada + Andhra Pradesh,1477500,640000,2019
Godugu Satyanarayana,CPI(ML)(L),0,Graduate,40,Kakinada + Andhra Pradesh,28000,0,2019
Jyothula Venkateswara Rao,Janasena Party,0,12th Pass,62,Kakinada + Andhra Pradesh,173451539,1150000,2019
Kakileti Ravindra,IND,0,10th Pass,41,Kakinada + Andhra Pradesh,1820000,750000,2019
Mallipudi Sri Ramachandra Murthy,INC,0,5th Pass,66,Kakinada + Andhra Pradesh,3995000,595000,2019
Medisetti Vijaya Kumar,IND, 8 ,12th Pass,53,Kakinada + Andhra Pradesh,46243484,11358500,2019
Peddimsetti Venkateswara Rao,Jana Jagruti Party, 2 ,12th Pass,46,Kakinada + Andhra Pradesh,23742000,0,2019
Sathi Veera Lakshmi,Pyramid Party of India,0,Illiterate,38,Kakinada + Andhra Pradesh,30000,0,2019
Sunil Kumar Chalamalasetty,TDP,0,Post Graduate,49,Kakinada + Andhra Pradesh,253266524,18310000,2019
Vasamsetty Venakta Ramana,AIFB,0,10th Pass,0,Kakinada + Andhra Pradesh,4850000,2170000,2019
Yalla Venkata Rama Mohana Rao,BJP, 1 ,Graduate,46,Kakinada + Andhra Pradesh,107992410,18424937,2019
Chinta Anuradha   Winner ,YSRCP,0,Graduate,46,Amalapuram + Andhra Pradesh,85993362,2431407,2019
Ganti Harish Madhur,TDP,0,Graduate Professional,30,Amalapuram + Andhra Pradesh,73049918,1537488,2019
Janga Goutham,INC,0,Graduate,49,Amalapuram + Andhra Pradesh,14768500,0,2019
Manepalli Ayyaji Vema,BJP,0,Graduate Professional,59,Amalapuram + Andhra Pradesh,6785061,0,2019
Mojas Raja Sekhar Duggirala,Janasena Party, 1 ,Post Graduate,59,Amalapuram + Andhra Pradesh,28930012,0,2019
Mortha Sivarama Krishna,Pyramid Party of India,0,Graduate,29,Amalapuram + Andhra Pradesh,0,0,2019
Muralikrishna Kanderi,India Praja Bandhu Party,0,Others,41,Amalapuram + Andhra Pradesh,12796,0,2019
Panthagada Vijaya Chakravarthy,RPI(Khobragade),0,Post Graduate,65,Amalapuram + Andhra Pradesh,550000,0,2019
Rajani Chelle,Jana Jagruti Party,0,Graduate,30,Amalapuram + Andhra Pradesh,261767,0,2019
Revu Sudhakar,IND,0,10th Pass,34,Amalapuram + Andhra Pradesh,11000,0,2019
Margani Bharat Ram   Winner ,YSRCP, 2 ,Graduate,36,Rajahmundry + Andhra Pradesh,458205360,17814757,2019
Akula Satyanarayana,Janasena Party,0,Post Graduate,55,Rajahmundry + Andhra Pradesh,673924565,461954372,2019
Bandaru Rajeswara Rao,Jana Jagruti Party,0,5th Pass,59,Rajahmundry + Andhra Pradesh,205700,0,2019
Geddam David Nelson Babu,Ambedkarite Party of India, 1 ,Post Graduate,60,Rajahmundry + Andhra Pradesh,5020544,760000,2019
Kuruvella Bhanu Chandar,IND,0,10th Pass,34,Rajahmundry + Andhra Pradesh,40000,0,2019
Meda Srinivasa Rao,Rashtriya Praja Congress (Secular), 2 ,Post Graduate,50,Rajahmundry + Andhra Pradesh,35830000,400000,2019
Nalluri Vijaya Srinivasa Rao,INC,0,12th Pass,55,Rajahmundry + Andhra Pradesh,562700,261693,2019
Paravasthu Satya Gopinath Das,BJP,0,12th Pass,48,Rajahmundry + Andhra Pradesh,3939990,0,2019
Roopa Rammohan Maganti,TDP,0,Graduate,45,Rajahmundry + Andhra Pradesh,431848590,324874000,2019
Srinivasa Rao Sangisetti,Pyramid Party of India,0,Illiterate,50,Rajahmundry + Andhra Pradesh,6835000,200000,2019
Venu Kollapu,IND, 1 ,Graduate,41,Rajahmundry + Andhra Pradesh,1330000,900000,2019
Kanumuru Raghu Rama Krishna Raju   Winner ,YSRCP, 3 ,Post Graduate,57,Narsapuram + Andhra Pradesh,3259405378,1014467354,2019
Dasari Krishna Murthy,India Praja Bandhu Party,0,10th Pass,32,Narsapuram + Andhra Pradesh,703000,153000,2019
G S Raju,SP,0,10th Pass,51,Narsapuram + Andhra Pradesh,1700000,0,2019
Ganji Purnima,RPI(A),0,Graduate,35,Narsapuram + Andhra Pradesh,99000,0,2019
