Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
Bapu Rao Soyam,ADILABAD,BJP, 52 ,12th Pass,3099414,231450,2019
Satyapal Singh Baghel,AGRA,BJP, 5 ,Doctorate,74274036,8606522,2019
Patel Hasmukhbhai Somabhai,AHMEDABAD EAST,BJP,0,Others,74699690,6252577,2019
Dr. Solanki Kiritbhai,AHMEDABAD WEST,BJP,0,Post Graduate,89474039,0,2019
Sujay Radhakrishna Vikhe,AHMEDNAGAR,BJP,0,Doctorate,168664576,2623964,2019
Bhagirath Chaudhary,AJMER,BJP,0,12th Pass,85101774,8319942,2019
Sanjay Shamrao Dhotre,AKOLA,BJP, 1 ,Graduate Professional,77153230,14985774,2019
A M Ariff,ALAPPUZHA,CPI(M), 2 ,Graduate Professional,15268906,2220700,2019
Ramya Haridas,ALATHUR,INC, 3 ,10th Pass,1152816,0,2019
Satish Kumar Gautam,ALIGARH,BJP,0,10th Pass,109522559,28095176,2019
John Barla,ALIPURDUARS,BJP, 9 ,8th Pass,1418730,0,2019
Rita Bahuguna Joshi,ALLAHABAD,BJP, 6 ,Doctorate,26919330,1600000,2019
Ajay Tamta,ALMORA,BJP,0,12th Pass,9910448,55845,2019
Mahant Balak Nath,ALWAR,BJP,0,10th Pass,352929,0,2019
Chinta Anuradha,AMALAPURAM,YSRCP,0,Graduate,85993362,2431407,2019
Rattan Lal Kataria,AMBALA,BJP,0,Post Graduate,54361499,188861,2019
Ritesh Pandey,AMBEDKAR NAGAR,BSP, 1 ,Graduate,307265103,24739098,2019
Smriti Irani,AMETHI,BJP,0,12th Pass,111099609,0,2019
Navneet Ravi Rana,AMRAVATI,IND, 1 ,10th Pass,124554656,70576979,2019
Kachhadiya Naranbhai Bhikhabhai,AMRELI,BJP,0,12th Pass,35900763,828961,2019
Gurjeet Singh Aujla,AMRITSAR,INC,0,12th Pass,34011739,9031565,2019
Kunwar Danish Ali,AMROHA,BSP,0,Graduate,74920879,19579691,2019
Dr.Beesetti Venkata Satyavathi,ANAKAPALLE,YSRCP,0,Graduate Professional,91526244,11139279,2019
Miteshbhai Patel,ANAND,BJP, 2 ,Others,77043053,7810840,2019
Manish Tewari,ANANDPUR SAHIB,INC,0,Graduate Professional,154637860,0,2019
Talari Rangaiah,ANANTAPUR,YSRCP, 1 ,Doctorate,11773091,1135547,2019
Hasnain Masoodi,ANANTNAG,Jammu & Kashmir National Conference,0,Post Graduate,87620672,0,2019
Kuldeep Rai Sharma,ANDAMAN AND NICOBAR ISLANDS,INC,0,Graduate Professional,132233012,80450870,2019
Dharmendra Kumar,AONLA,BJP,0,10th Pass,21766502,3324300,2019
S. Jagathrakshakan,ARAKKONAM,DMK, 2 ,10th Pass,1146984897,166365972,2019
Goddeti Madhavi,ARAKU,YSRCP,0,Graduate Professional,141179,0,2019
Aparupa Poddar (Afrin Ali),ARAMBAG,AITC, 1 ,Post Graduate,12527597,4244000,2019
Vishnuprasad. M.K,ARANI,INC, 1 ,Graduate Professional,234564815,33409505,2019
Pradeep Kumar Singh,ARARIA,BJP, 3 ,10th Pass,5010577,1159200,2019
R. K. Singh,ARRAH,BJP, 1 ,Graduate Professional,79971720,0,2019
Tapir Gao,ARUNACHAL EAST,BJP,0,Post Graduate,136628259,0,2019
Kiren Rijiju,ARUNACHAL WEST,BJP,0,Graduate Professional,15279000,0,2019
Pramila Bisoyi,ASKA,BJD,0,5th Pass,732470,0,2019
Adoor Prakash,ATTINGAL,INC, 7 ,Graduate Professional,144098612,27622685,2019
Imtiaz Jaleel Syed,AURANGABAD,AIMIM, 4 ,Post Graduate,29562768,6800000,2019
Sushil Kumar Singh,AURANGABAD,BJP, 3 ,Post Graduate,167895109,3746607,2019
Horen Sing Bey,AUTONOMOUS DISTRICT,BJP, 2 ,Graduate,20693570,5956209,2019
Akhilesh Yadav,AZAMGARH,SP,0,Graduate Professional,377859166,2853000,2019
Sangh Mitra Maurya,BADAUN,BJP, 2 ,Graduate Professional,40372093,0,2019
Gaddigoudar Parvatagouda Chandanagouda,BAGALKOT,BJP,0,Graduate Professional,43980663,7987991,2019
Dr. Satyapal Singh,BAGHPAT,BJP, 1 ,Post Graduate,78195793,0,2019
Adhir Ranjan Chowdhury,BAHARAMPUR,INC, 7 ,10th Pass,101315437,8506984,2019
Akshayabar Lal,BAHRAICH,BJP,0,10th Pass,45691463,3028133,2019
Dr. Dhal Singh Bisen,BALAGHAT,BJP,0,Others,88648133,1530693,2019
Pratap Chandra Sarangi,BALASORE,BJP, 7 ,Graduate,1346236,160,2019
Virendra Singh,BALLIA,BJP, 2 ,Graduate,24498319,0,2019
Sukanta Majumdar,BALURGHAT,BJP,0,Doctorate,5825866,2168170,2019
