Product,Price,Processor,RAM,Operating System,Storage,Display,Rating
Acer Aspire 3 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) A315-56 Laptop,"Rs 32,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,3.8
Asus VivoBook 14 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) X412FA-EK362T Thin and Light Lap...,"Rs 35,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,4.4
HP 15s Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15s-du2009TU Thin and Light Laptop,"Rs 35,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,3.9
Asus VivoBook 15 Ryzen 3 Dual Core - (4 GB/1 TB HDD/Windows 10 Home) M509DA-EJ741T Laptop,"Rs 29,990",AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4.3
Dell Vostro Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Vostro 3491 Thin and Light Laptop,"Rs 35,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,4.2
Acer One 14 Pentium Dual Core - (4 GB/1 TB HDD/Windows 10 Home) Z2-485 Thin and Light Laptop,"Rs 23,990",Intel Pentium Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,4.1
Lenovo Ideapad S145 Core i3 8th Gen - (4 GB/1 TB HDD/DOS) S145-15IKB Laptop,"Rs 29,990",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,DOS Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4.1
HP 15s Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-dy2007TU Thin and Light Laptop,"Rs 49,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4.4
Asus VivoBook Gaming Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce G...,"Rs 52,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,4.5
Asus VivoBook 14 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) X412FA-EK363T Thin and Light Lap...,"Rs 36,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,4.4
HP 15 Ryzen 3 Dual Core - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15-DB1060AU Laptop,"Rs 35,989",AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,4.4
Dell Vostro Core i3 10th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Vostro 3491 Thin and Light L...,"Rs 38,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,4.3
HP 15s Ryzen 5 Quad Core - (8 GB/512 GB SSD/Windows 10 Home) 15s-EQ0024au Thin and Light Laptop,"Rs 41,990",AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,4.5
Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,"Rs 59,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,4.4
Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X412FA-EK513T Thin and ...,"Rs 55,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,4.3
HP 15s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-du2078TU Thin and Light Laptop,"Rs 52,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,4.3
Lenovo Ideapad 330 Core i3 7th Gen - (8 GB/1 TB HDD/Windows 10 Home) 330-15IKB Laptop,"Rs 31,490",Intel Core i3 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4.1
HP 15q APU Dual Core A6 - (4 GB/1 TB HDD/Windows 10 Home) 15q-dy0013AU Laptop,"Rs 27,079",AMD APU Dual Core A6 Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4
Lenovo Ideapad 3 Core i5 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15IIL05 Laptop,"Rs 43,990",Intel Core i5 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,3.5
HP 14s Core i3 8th Gen - (4 GB/256 GB SSD/Windows 10 Home) 14s-cs0001TU Thin and Light Laptop,"Rs 34,490",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,4.2
LifeDigital Zed Core i3 5th Gen - (4 GB/1 TB HDD/128 GB SSD/Windows 10 Home) Zed Air CX3 Laptop,"Rs 24,990",Intel Core i3 Processor (5th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,4.2
Asus ROG Strix G15 Core i7 10th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX ...,"Rs 94,990",Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,4.6
Dell Vostro 14 3000 Core i5 8th Gen - (8 GB/1 TB HDD/Linux/2 GB Graphics) VOS 3480 Laptop,"Rs 43,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Linux/Ubuntu Operating System,1 TB HDD,35.56 cm (14 inch) Display,4.2
Asus ROG Strix G15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GT...,"Rs 79,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,4.6
Lenovo Ideapad S340 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) S340-14API Thin and...,"Rs 44,990",AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,4.6
Lenovo Ideapad Flex 5 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14IIL05 2 in 1 Laptop,"Rs 65,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,4.6
HP 15s Core i3 8th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-du0122tu Thin and Light Laptop,"Rs 38,683",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,4.5
HP 15 Ryzen 3 Dual Core - (4 GB/1 TB HDD/Windows 10 Home) 15-db 1059AU Laptop,"Rs 33,256",AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4.1
HP 15q Core i3 8th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15q-ds0059TU Thin and Light Laptop,"Rs 35,740",Intel Core i3 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4.3
Asus Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X509JA-EJ482TS Laptop,"Rs 37,990",Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4.2
Asus Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) X509JA-EJ485T Laptop,"Rs 32,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4.1
Asus VivoBook 14 Core i3 8th Gen - (4 GB/512 GB SSD/Windows 10 Home) X412FA-EK373T Thin and Light Lapt...,"Rs 33,990",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,4.4
Acer Aspire 3 Athlon Dual Core - (4 GB/1 TB HDD/Windows 10 Home) A315-23 Laptop,"Rs 26,990",AMD Athlon Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4.1
Apple MacBook Pro with Touch Bar Core i5 8th Gen - (8 GB/256 GB SSD/Mac OS Catalina) MXK62HN/A,"Rs 1,22,990",Intel Core i5 Processor (8th Gen),8 GB LPDDR3 RAM,Mac OS Operating System,256 GB SSD,33.02 cm (13 inch) Display,4.9
Asus ROG Strix G15 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX ...,"Rs 84,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,4.8
Asus VivoBook Gaming Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce G...,"Rs 52,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,4.4
Lenovo Ideapad S540 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) S540-1...,"Rs 65,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,4.5
Asus ROG Strix G Core i5 9th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 165...,"Rs 71,990",Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,4.7
Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,"Rs 59,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,4.6
Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X412FA-EK512T Thin and ...,"Rs 55,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,4.5
HP 15s Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15s-du2069TU Thin and Light Laptop,"Rs 34,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4.1
HP 14s Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-dr1001tu Thin and Light Laptop,"Rs 44,990",Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,4.4
Acer Aspire 5 Core i3 8th Gen - (4 GB/512 GB SSD/Windows 10 Home) A515-54 Thin and Light Laptop,"Rs 35,990",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,4.3
HP 15 Pentium Gold - (4 GB/1 TB HDD/Windows 10 Home) 15-di0001TU Laptop,"Rs 22,490",Intel Pentium Gold Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4.2
HP 15 Core i3 7th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15Q-DS0026TU Laptop,"Rs 32,990",Intel Core i3 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4.3
HP Pavilion x360 Core i7 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh0149TU 2 in 1 Laptop,"Rs 75,990",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,4.6
MSI GF65 Thin Core i7 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce GTX 166...,"Rs 99,990",Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,4.6
Asus VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) S430FA-EB039T Thin...,"Rs 53,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,4.5
Asus VivoBook 15 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X512DA-EJ1298TS Thin a...,"Rs 47,990",AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,4.6
Asus VivoBook 15 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X512DA-EJ456TS Thin an...,"Rs 48,990",AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,4.6
Asus VivoBook Gaming Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA ...,"Rs 64,990",Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,4.4
Acer Aspire 5 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) A515-54G Thin and Ligh...,"Rs 49,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,4.5
Acer Aspire 5 Core i5 8th Gen - (4 GB/1 TB HDD/Windows 10 Home) A515-51 Laptop,"Rs 34,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,3.8
HP 14s Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14S-ER0003TU Thin and Light Lapto...,"Rs 63,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,4.3
HP DI Core i5 10th Gen - (8 GB/1 TB HDD/64 GB EMMC Storage/Windows 10 Home/2 GB Graphics) 15-DI2001TX ...,"Rs 55,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4.2
Acer Swift 3 Athlon Dual Core - (4 GB/1 TB HDD/Windows 10 Home) SF314-41 Thin and Light Laptop,"Rs 34,290",AMD Athlon Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,4.1
HP 15s Ryzen 3 Dual Core - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-GR0008AU Thin and Light Lapt...,"Rs 35,990",AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,4.4
Dell 14 3000 Core i3 7th Gen - (4 GB/1 TB HDD/Linux) inspiron 3481 Laptop,"Rs 25,490",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,Linux/Ubuntu Operating System,1 TB HDD,35.56 cm (14 inch) Display,4.1
Dell Vostro Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Vostro 3491 Thin and Light L...,"Rs 53,859",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,4.3
Acer Aspire 5 Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) A515-51G -5673 Laptop,"Rs 40,990",Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4
Lenovo Ideapad 130 Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) 130-15IKB Laptop,"Rs 32,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,4
Acer Aspire 7 Core i7 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650...,"Rs 69,990",Intel Core i7 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,4.6
Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X412FA-EK511T Thin and ...,"Rs 55,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,4.4
Asus ROG Strix G Core i7 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX ...,"Rs 81,990",Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,4.5
Lenovo Ideapad S145 APU Dual Core A6 - (4 GB/1 TB HDD/Windows 10 Home) 81ST Ideapad S145-14AST U Thin ...,"Rs 22,990",AMD APU Dual Core A6 Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,3.9
Acer Aspire 3 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) A315-56 Laptop,"Rs 32,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,39.62 cm (15.6 inch) Display,3.8
HP Pavilion Ryzen 7 Quad Core - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce...,"Rs 74,990",AMD Ryzen 7 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,4.4
Asus VivoBook 14 Core i3 7th Gen - (4 GB/256 GB SSD/Windows 10 Home) X412UA-EK341T Thin and Light Lapt...,"Rs 33,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,4.3
HP Pavilion x360 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home) 14-dh0150TU 2 in 1 Laptop,"Rs 61,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Touchscreen Display,4.3
Asus ROG Strix G Core i7 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,"Rs 82,990",Intel Core i7 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,4.6
HP Pavilion x360 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 14-dh1026TX 2 in ...,"Rs 1,02,269",Intel Core i7 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,4.4
Lenovo Ideapad L340 Core i5 9th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA G...,"Rs 59,990",Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,4.4
